Time,PM1,PM2,PM10,NO2,CO,CO2,Humidity,Temp
12:00,54.00,80.00,80.00,0.01,36.83,20.67,30.94,66.5
12:03,41.00,92.00,102.00,0.02,66.06,54.92,30.94,66.25
12:06,40.00,88.00,106.00,0.02,37.27,13.71,31.41,64.19
12:09,40.00,83.00,96.00,0.02,33.47,6.70,31.66,63.19
12:12,38.00,77.00,87.00,0.03,32.20,4.62,31.91,62.94
12:15,40.00,76.00,84.00,0.03,31.31,3.39,32.13,62.13
12:18,39.00,73.00,88.00,0.03,31.14,2.93,32.25,62.13
12:21,41.00,78.00,92.00,0.03,32.20,2.51,32.41,61.38
12:24,34.00,74.00,85.00,0.03,31.67,2.32,32.50,61.13
12:27,37.00,71.00,77.00,0.04,30.27,2.23,32.63,61.25
12:30,40.00,76.00,89.00,0.04,31.67,2.23,32.72,61.06
12:33,37.00,82.00,97.00,0.04,30.62,2.14,32.81,60.44
12:36,40.00,80.00,93.00,0.04,30.27,2.05,32.91,60.25
12:39,39.00,79.00,91.00,0.04,31.31,2.05,32.91,60.06
12:42,37.00,84.00,104.00,0.04,31.67,1.97,32.97,60.06
12:45,44.00,98.00,106.00,0.05,30.27,2.05,33.59,75.00
12:48,41.00,85.00,96.00,0.06,31.58,1.98,33.85,63.55
12:51,40.00,80.00,93.00,0.04,30.27,2.05,32.91,60.25
12:54,34.00,74.00,85.00,0.03,31.67,2.32,32.50,61.13
12:57,41.00,92.00,102.00,0.02,66.06,54.92,30.94,66.25
13:00,40.00,80.00,93.00,0.04,30.27,2.05,32.91,60.25
